longitude,latitude,altitude,speed,course,date,time,satellites
116.329185,39.745121,0.0,20.6,241.5,71118,13100,3
116.329017,39.745094,31.6,10.2,263.0,71118,13600,4
116.328926,39.745082,29.8,8.3,258.2,71118,14100,4
116.328819,39.745082,28.5,6.7,266.9,71118,14600,4
116.328765,39.745098,32.6,5.3,265.7,71118,15100,4
116.328720,39.745136,39.1,11.6,303.5,71118,15600,4
116.328659,39.745155,43.0,3.3,309.3,71118,20100,4
116.328613,39.745162,48.1,3.1,309.3,71118,20600,4
116.328536,39.745162,48.4,2.4,309.3,71118,21100,4
116.328529,39.745197,57.5,3.5,309.3,71118,21600,4
116.328346,39.745159,46.3,5.4,272.6,71118,22100,4
116.328208,39.745124,39.3,5.3,266.6,71118,22600,4
116.328132,39.745128,40.2,5.5,289.5,71118,23100,5
116.328025,39.745124,37.6,5.5,273.1,71118,23600,5
116.327896,39.745109,33.0,5.6,277.3,71118,24100,5
116.327774,39.745094,29.6,5.4,273.2,71118,24600,5
116.327674,39.745090,28.1,5.6,271.2,71118,25100,5
116.327613,39.745094,29.6,4.0,276.0,71118,25600,5
116.327529,39.745094,28.1,4.6,271.1,71118,30100,5
116.327453,39.745063,27.6,4.8,235.6,71118,30600,5
116.327392,39.745033,27.6,4.4,228.9,71118,31100,5
116.327331,39.745006,29.1,4.8,247.4,71118,31600,5
116.327247,39.744979,28.4,4.9,230.6,71118,32100,5
116.327171,39.744918,25.6,5.7,228.3,71118,32600,5
116.327095,39.744892,25.6,5.5,242.3,71118,33100,5
116.326995,39.744873,23.2,4.9,254.9,71118,33600,5
116.326911,39.744861,22.3,5.4,257.5,71118,34100,5
116.326812,39.744853,23.0,5.4,263.4,71118,34700,5
116.326736,39.744846,23.4,5.1,264.4,71118,35200,5
116.326652,39.744846,23.0,5.4,267.0,71118,35700,5
116.326576,39.744834,23.5,5.3,259.8,71118,40200,5
116.326492,39.744815,22.6,5.1,254.2,71118,40700,5
116.326408,39.744800,23.1,5.1,258.6,71118,41200,5
116.326339,39.744808,23.0,4.6,281.3,71118,41700,5
116.326278,39.744815,21.4,0.6,283.8,71118,42200,5
116.326263,39.744812,19.1,0.2,283.8,71118,42700,5
116.326240,39.744808,17.2,0.4,283.8,71118,43200,5
116.326179,39.744808,16.7,5.6,269.0,71118,43700,5
116.326095,39.744808,17.0,5.9,268.4,71118,44200,5
116.326004,39.744800,16.9,6.3,260.1,71118,44700,5
116.325912,39.744792,16.4,5.5,266.8,71118,45200,5
116.325843,39.744770,17.0,5.5,234.6,71118,45700,5
116.325927,39.744743,32.3,4.9,201.4,71118,50200,6
116.325950,39.744686,36.9,5.5,182.9,71118,50700,6
116.325950,39.744632,38.2,4.2,188.9,71118,51200,6
116.325950,39.744575,39.5,4.9,179.2,71118,51700,6
116.325942,39.744533,40.5,3.4,187.5,71118,52200,6
116.325942,39.744491,41.6,4.9,180.2,71118,52700,6
116.325950,39.744445,42.4,3.6,173.9,71118,53200,6
116.325942,39.744392,44.2,5.1,181.0,71118,53700,6
116.325950,39.744335,44.6,5.1,176.5,71118,54200,6
116.325958,39.744293,46.3,3.1,176.4,71118,54700,6
116.325958,39.744232,47.2,3.1,180.6,71118,55300,6
116.325965,39.744171,49.3,3.3,177.2,71118,55800,7
116.325965,39.744113,50.4,4.2,175.1,71118,60300,7
116.326004,39.744087,54.0,3.2,136.7,71118,60800,7
116.326026,39.744033,56.9,2.1,158.6,71118,61300,7
116.326049,39.743991,57.6,3.5,148.6,71118,61800,7
116.326065,39.743942,56.7,1.9,177.6,71118,62300,7
116.326072,39.743930,57.8,1.1,177.6,71118,62800,7
116.326095,39.743915,58.8,1.1,164.4,71118,63300,7
116.326110,39.743904,60.2,1.0,164.4,71118,63800,7
116.326118,39.743896,60.8,0.3,164.4,71118,64300,7
116.326110,39.743888,60.6,0.4,164.4,71118,64800,7
116.326103,39.743873,60.0,0.1,164.4,71118,65300,7
116.326072,39.743835,54.9,0.0,164.4,71118,65800,10
116.326065,39.743827,53.1,0.1,164.4,71118,70300,12
116.326049,39.743797,49.6,0.1,164.4,71118,70800,12
116.326042,39.743789,48.4,0.1,164.4,71118,71300,12
116.326042,39.743785,47.1,0.0,164.4,71118,71800,12
116.326042,39.743782,45.7,0.2,164.4,71118,72300,12
116.326042,39.743774,43.5,0.1,164.4,71118,72800,12
116.326034,39.743770,42.7,0.0,164.4,71118,73300,12
116.326042,39.743774,42.4,0.0,164.4,71118,73800,12
116.326034,39.743770,42.0,0.1,164.4,71118,74300,12
116.326034,39.743770,41.8,0.1,164.4,71118,74800,12
116.326034,39.743774,41.6,0.0,164.4,71118,75300,12
116.326042,39.743770,41.1,0.1,164.4,71118,75800,11
116.326049,39.743766,41.6,0.1,164.4,71118,80300,12
116.326049,39.743762,43.3,0.3,164.4,71118,80900,12
116.326049,39.743755,44.0,0.1,164.4,71118,81400,12
116.326057,39.743755,44.2,0.0,164.4,71118,81900,12
116.326065,39.743770,42.9,2.3,289.6,71118,82400,11
116.326049,39.743774,45.0,0.4,252.4,71118,82900,10
116.326072,39.743785,44.3,2.2,252.4,71118,83400,11
116.326133,39.743625,41.0,23.3,171.3,71118,83900,10
116.326148,39.743240,37.2,33.3,180.0,71118,84400,12
116.326141,39.742881,38.9,27.3,181.9,71118,84900,12
116.326156,39.742576,37.3,24.1,179.7,71118,85400,10
116.326148,39.742206,32.7,20.7,180.1,71118,85900,10
116.326148,39.742057,25.1,0.2,176.7,71118,90400,10
116.326156,39.742050,25.2,0.0,176.7,71118,90900,10
116.326156,39.742038,27.5,0.2,176.7,71118,91400,11
116.326156,39.742023,31.7,0.2,176.7,71118,91900,12
116.326148,39.742012,36.0,0.3,176.7,71118,92400,12
116.326141,39.741996,39.1,0.1,176.7,71118,92900,11
116.326133,39.741981,39.8,0.2,176.7,71118,93400,12
116.326110,39.741954,46.1,0.1,176.7,71118,93900,10
116.326087,39.741939,50.5,0.1,176.7,71118,94400,10
116.326080,39.741931,52.6,0.1,176.7,71118,94900,10
116.326072,39.741924,54.3,0.1,176.7,71118,95400,10
116.326072,39.741920,55.1,0.0,176.7,71118,95900,10
116.326072,39.741920,55.3,0.1,176.7,71118,100500,9
116.326072,39.741920,54.7,0.0,176.7,71118,101000,9
116.326072,39.741920,54.9,0.1,176.7,71118,101500,9
116.326065,39.741832,53.8,14.8,181.8,71118,102000,10
116.326072,39.741546,53.2,26.7,176.9,71118,102500,10
116.326080,39.741161,50.0,31.0,182.4,71118,103000,9
116.326057,39.740802,46.5,28.9,184.2,71118,103500,12
116.326034,39.740581,43.3,10.4,186.7,71118,104000,10
116.326042,39.740570,43.5,0.1,190.8,71118,104500,10
116.326049,39.740566,42.6,2.3,178.2,71118,105000,10
116.326103,39.740398,41.0,22.0,166.2,71118,105500,11
116.326156,39.740016,41.0,35.3,177.1,71118,110000,10
116.326179,39.739498,38.1,43.3,178.4,71118,110500,10
116.326210,39.738910,36.4,47.2,177.4,71118,111000,11
116.326240,39.738368,35.6,43.7,177.5,71118,111500,10
116.326240,39.737831,36.1,37.3,178.9,71118,112000,11
116.326255,39.737495,36.4,23.9,182.9,71118,112500,11
116.326232,39.737354,36.5,9.1,195.5,71118,113000,11
116.326225,39.737312,39.6,1.2,196.0,71118,113500,10
116.326255,39.737319,40.7,0.1,196.0,71118,114000,10
116.326271,39.737335,35.5,0.1,196.0,71118,114500,10
116.326293,39.737342,29.1,0.3,196.0,71118,115000,9
116.326293,39.737331,25.3,1.0,196.0,71118,115500,9
116.326293,39.737316,20.2,0.3,196.0,71118,120000,9
116.326286,39.737274,16.7,1.4,196.0,71118,120500,10
116.326278,39.737247,15.6,0.5,196.0,71118,121100,8
116.326255,39.737220,14.4,0.4,196.0,71118,121600,10
116.326232,39.737167,9.2,0.5,196.0,71118,122100,10
116.326225,39.737148,8.4,2.9,196.0,71118,122600,9
116.326255,39.737014,7.6,17.3,156.8,71118,123100,11
116.326370,39.736679,12.4,26.4,163.5,71118,123600,10
116.326347,39.736251,17.3,35.0,177.3,71118,124100,11
116.326362,39.735832,19.1,30.2,181.0,71118,124600,10
116.326332,39.735649,26.0,10.6,200.8,71118,125100,10
116.326316,39.735530,36.2,13.2,186.4,71118,125600,10
116.326301,39.735412,43.4,5.1,183.4,71118,130100,11
116.326309,39.735408,46.2,0.3,183.4,71118,130600,10
116.326316,39.735401,50.9,1.5,183.4,71118,131100,10
116.326316,39.735385,52.6,0.2,183.4,71118,131600,10
116.326347,39.735309,55.4,8.4,159.2,71118,132100,10
116.326416,39.734992,58.7,29.7,171.4,71118,132600,9
116.326423,39.734489,58.6,40.2,178.9,71118,133100,10
116.326416,39.733875,59.1,46.6,177.1,71118,133600,8
116.326408,39.733249,58.7,43.2,176.6,71118,134100,9
116.326400,39.732753,57.3,32.7,179.2,71118,134600,9
116.326385,39.732444,54.6,13.7,179.2,71118,135100,9
116.326385,39.732395,55.7,0.6,180.8,71118,135600,9
116.326393,39.732383,55.7,0.5,180.8,71118,140100,9
116.326400,39.732383,57.8,0.1,180.8,71118,140600,9
116.326416,39.732391,59.7,0.2,180.8,71118,141200,9
116.326416,39.732406,62.8,0.2,180.8,71118,141700,9
116.326423,39.732372,63.6,4.0,172.9,71118,142200,9
116.326423,39.732299,63.9,5.3,176.7,71118,142700,9
116.326423,39.732246,64.4,4.1,178.7,71118,143200,9
116.326446,39.732124,66.4,12.6,166.4,71118,143700,9
116.326454,39.732009,67.8,7.4,178.1,71118,144200,9
116.326400,39.731723,60.9,22.2,180.5,71118,144700,9
116.326316,39.731231,57.8,25.2,180.6,71118,145200,9
116.326301,39.730945,58.2,16.1,178.3,71118,145700,9
116.326293,39.730804,57.1,4.1,185.4,71118,150200,9
116.326293,39.730777,56.8,0.4,186.0,71118,150700,9
116.326293,39.730751,55.6,0.3,186.0,71118,151200,9
116.326293,39.730739,52.3,0.3,186.0,71118,151700,9
116.326301,39.730735,48.3,1.2,186.0,71118,152200,9
116.326301,39.730735,45.3,0.5,186.0,71118,152700,9
116.326293,39.730743,43.5,0.2,186.0,71118,153200,9
116.326286,39.730747,42.0,0.1,186.0,71118,153700,9
116.326278,39.730739,43.3,0.2,186.0,71118,154200,9
116.326278,39.730739,42.5,0.1,186.0,71118,154700,9
116.326271,39.730735,42.6,0.1,186.0,71118,155200,9
116.326263,39.730716,47.0,0.3,186.0,71118,155700,9
116.326263,39.730709,47.6,0.2,186.0,71118,160200,9
116.326263,39.730709,48.1,0.0,186.0,71118,160700,9
116.326255,39.730705,49.3,0.1,186.0,71118,161300,9
116.326248,39.730693,52.2,0.4,186.0,71118,161800,9
116.326240,39.730686,54.7,0.1,186.0,71118,162300,9
116.326232,39.730670,58.5,0.3,186.0,71118,162800,9
116.326240,39.730594,59.1,12.9,177.0,71118,163300,9
116.326248,39.730327,57.0,26.8,179.9,71118,163800,9
116.326248,39.729980,55.8,28.3,181.6,71118,164300,8
116.326255,39.729763,51.9,11.4,183.5,71118,164800,9
116.326248,39.729736,51.9,0.4,187.4,71118,165300,8
116.326248,39.729747,49.7,0.0,187.4,71118,165800,9
116.326248,39.729755,47.5,0.4,187.4,71118,170300,9
116.326255,39.729686,46.0,9.0,176.4,71118,170800,9
116.326293,39.729557,44.4,8.7,168.1,71118,171300,9
116.326324,39.729389,43.4,17.4,170.9,71118,171800,9
116.326332,39.729000,43.4,32.1,179.7,71118,172300,9
