longitude,latitude,altitude,speed,course,date,time,satellites
116.322814,39.728061,0.0,0.1,0.0,61118,10073200,5
116.322860,39.727985,555.8,0.9,0.0,61118,10073700,5
116.322814,39.727993,552.4,0.5,0.0,61118,10074200,5
116.322799,39.727981,551.3,0.5,0.0,61118,10074700,5
116.322784,39.727985,552.6,0.4,0.0,61118,10075200,5
116.322769,39.728027,550.5,0.6,356.5,61118,10075700,6
116.322799,39.728038,550.6,0.6,356.5,61118,10080200,5
116.322792,39.728019,548.0,0.4,356.5,61118,10080700,5
116.322807,39.727989,540.7,0.9,356.5,61118,10081200,6
116.322814,39.727958,535.1,1.3,167.9,61118,10081700,6
116.322822,39.727931,529.9,1.5,173.7,61118,10082200,6
116.322814,39.727912,527.4,1.4,170.6,61118,10082700,5
116.322814,39.727912,527.3,1.1,173.7,61118,10083200,7
116.322883,39.727874,514.9,1.7,169.7,61118,10083700,7
116.323036,39.727634,463.2,2.9,159.6,61118,10084200,7
116.323204,39.727371,405.5,4.5,165.3,61118,10084700,7
116.323326,39.727199,365.6,5.4,158.3,61118,10085200,7
116.323532,39.726787,286.4,4.1,151.4,61118,10085700,7
116.323707,39.726463,225.0,3.8,171.4,61118,10090200,7
116.323829,39.726272,185.2,3.0,165.5,61118,10090700,7
116.323966,39.726127,147.8,2.4,166.2,61118,10091200,7
116.324073,39.726032,119.6,2.9,170.2,61118,10091700,7
116.324127,39.725994,104.6,1.7,140.7,61118,10092200,7
116.324180,39.725971,92.2,1.1,144.5,61118,10092700,7
116.324211,39.725940,82.3,3.2,167.3,61118,10093200,7
116.324211,39.725933,73.6,1.9,171.5,61118,10093700,6
116.324295,39.725936,64.4,2.2,171.5,61118,10094200,6
116.324577,39.725948,58.0,18.4,83.5,61118,10094700,7
116.324958,39.726032,50.5,16.6,72.6,61118,10095300,5
116.325241,39.726074,45.0,15.1,71.7,61118,10095800,6
116.325515,39.726081,40.5,6.1,87.8,61118,10100300,6
116.325607,39.726066,37.4,0.3,87.8,61118,10100800,6
116.325622,39.726074,33.3,1.8,87.8,61118,10101300,6
116.325637,39.726081,29.2,1.5,87.8,61118,10101800,5
116.325714,39.726066,26.7,1.7,87.8,61118,10102300,5
116.325752,39.726062,22.1,1.2,87.8,61118,10102800,4
116.325736,39.726062,17.7,1.9,87.8,61118,10103300,7
116.325798,39.726074,19.6,1.9,87.8,61118,10103800,7
116.325881,39.726081,25.3,1.1,87.8,61118,10104300,6
116.325958,39.726066,30.5,0.9,87.8,61118,10104800,6
116.326110,39.726009,35.9,3.4,113.4,61118,10105300,7
116.326179,39.725994,40.2,1.5,113.4,61118,10105800,6
116.326194,39.726005,45.9,3.1,113.4,61118,10110300,6
116.326347,39.725997,51.6,6.4,113.4,61118,10110800,7
116.326377,39.726020,56.4,0.8,97.7,61118,10111300,6
116.326393,39.726043,61.4,1.7,97.7,61118,10111800,6
116.326408,39.726055,66.3,0.4,97.7,61118,10112300,5
116.326347,39.726062,64.1,0.4,97.7,61118,10112800,6
116.326316,39.726062,61.6,0.9,97.7,61118,10113300,6
116.326362,39.726070,60.2,8.2,83.0,61118,10113800,6
116.326560,39.726161,58.5,15.8,63.3,61118,10114300,8
116.326667,39.726367,60.4,16.8,35.3,61118,10114800,7
116.326698,39.726768,64.3,27.8,6.7,61118,10115300,8
116.326683,39.727256,70.3,34.6,1.1,61118,10115800,8
116.326683,39.727615,72.1,25.4,359.9,61118,10120300,7
116.326652,39.727710,69.3,5.9,347.5,61118,10120900,8
116.326637,39.727737,68.7,1.6,345.3,61118,10121400,7
116.326614,39.727760,62.8,0.5,345.3,61118,10121900,7
116.326614,39.727779,59.3,0.4,345.3,61118,10122400,7
116.326629,39.727840,58.3,6.8,10.7,61118,10122900,7
116.326622,39.728103,56.2,21.1,2.9,61118,10123400,7
116.326622,39.728420,53.2,24.5,0.2,61118,10123900,7
116.326614,39.728721,50.0,23.7,359.4,61118,10124400,7
116.326637,39.728950,50.8,18.5,0.9,61118,10124900,7
116.326629,39.729198,50.1,19.9,359.0,61118,10125400,6
116.326599,39.729419,56.1,18.1,0.9,61118,10125900,8
116.326583,39.729591,64.8,13.6,1.8,61118,10130400,8
116.326576,39.729637,72.2,3.8,0.7,61118,10130900,8
116.326538,39.729660,73.9,1.8,0.7,61118,10131400,8
116.326484,39.729679,77.6,1.7,0.7,61118,10131900,8
116.326416,39.729717,79.2,0.3,0.7,61118,10132400,8
116.326385,39.729732,82.0,1.0,0.7,61118,10132900,8
116.326354,39.729736,85.4,0.7,0.7,61118,10133400,7
116.326316,39.729736,89.2,0.4,0.7,61118,10133900,6
116.326263,39.729743,93.5,1.4,0.7,61118,10134400,7
116.326210,39.729755,95.8,0.8,0.7,61118,10134900,7
116.326171,39.729766,96.2,0.4,0.7,61118,10135400,8
116.326118,39.729782,97.3,1.4,0.7,61118,10135900,7
116.326057,39.729801,98.6,2.9,329.1,61118,10140400,7
116.326004,39.729827,100.2,2.9,318.3,61118,10140900,6
116.326049,39.729824,98.8,0.5,318.3,61118,10141400,7
116.326080,39.729820,99.6,0.9,318.3,61118,10141900,8
116.326126,39.729831,99.4,1.4,318.3,61118,10142500,8
116.326187,39.729816,99.0,2.5,318.3,61118,10143000,9
116.326293,39.730064,96.0,20.2,358.7,61118,10143500,9
