date, time, longitude, latitude, altitude, speed
07/15/10, 08:28:42, 116.330345, 39.732125, 51.000000, com.ideamats.common.unit.FormatResult@438a01c8
07/15/10, 08:28:43, 116.330371, 39.732120, 51.000000, com.ideamats.common.unit.FormatResult@43813210
07/15/10, 08:28:44, 116.330382, 39.732131, 50.000000, com.ideamats.common.unit.FormatResult@437f62b0
07/15/10, 08:28:45, 116.330414, 39.732125, 50.000000, com.ideamats.common.unit.FormatResult@437a3018
07/15/10, 08:28:46, 116.330473, 39.732109, 51.000000, com.ideamats.common.unit.FormatResult@437b37d0
07/15/10, 08:28:47, 116.330506, 39.732104, 51.000000, com.ideamats.common.unit.FormatResult@43825740
07/15/10, 08:28:49, 116.330559, 39.732104, 51.000000, com.ideamats.common.unit.FormatResult@4383b760
07/15/10, 08:28:52, 116.330629, 39.732093, 51.000000, com.ideamats.common.unit.FormatResult@437be398
07/15/10, 08:28:55, 116.330688, 39.732093, 51.000000, com.ideamats.common.unit.FormatResult@43821d30
07/15/10, 08:28:58, 116.330747, 39.732082, 51.000000, com.ideamats.common.unit.FormatResult@438bf198
07/15/10, 08:29:01, 116.330774, 39.732082, 52.000000, com.ideamats.common.unit.FormatResult@4381dd38
07/15/10, 08:29:04, 116.330817, 39.732093, 52.000000, com.ideamats.common.unit.FormatResult@438ca708
07/15/10, 08:29:07, 116.330860, 39.732088, 51.000000, com.ideamats.common.unit.FormatResult@4386f118
07/15/10, 08:29:13, 116.330962, 39.732061, 50.000000, com.ideamats.common.unit.FormatResult@437cba18
07/15/10, 08:29:18, 116.331074, 39.732056, 49.000000, com.ideamats.common.unit.FormatResult@437ec9a8
07/15/10, 08:29:21, 116.331160, 39.732050, 49.000000, com.ideamats.common.unit.FormatResult@438ceb98
07/15/10, 08:29:24, 116.331235, 39.732050, 51.000000, com.ideamats.common.unit.FormatResult@438a8ce8
07/15/10, 08:29:27, 116.331310, 39.732040, 52.000000, com.ideamats.common.unit.FormatResult@4380b198
07/15/10, 08:29:30, 116.331380, 39.732034, 53.000000, com.ideamats.common.unit.FormatResult@43830668
07/15/10, 08:29:33, 116.331418, 39.732040, 53.000000, com.ideamats.common.unit.FormatResult@4386b930
07/15/10, 08:29:36, 116.331466, 39.732040, 53.000000, com.ideamats.common.unit.FormatResult@438b7d50
07/15/10, 08:29:39, 116.331503, 39.732040, 52.000000, com.ideamats.common.unit.FormatResult@43816348
07/15/10, 08:29:42, 116.331552, 39.732045, 53.000000, com.ideamats.common.unit.FormatResult@4383eb18
07/15/10, 08:29:45, 116.331616, 39.732034, 52.000000, com.ideamats.common.unit.FormatResult@438555e0
07/15/10, 08:29:48, 116.331659, 39.732023, 52.000000, com.ideamats.common.unit.FormatResult@437b6980
07/15/10, 08:29:51, 116.331750, 39.732013, 52.000000, com.ideamats.common.unit.FormatResult@4385e680
07/15/10, 08:29:54, 116.331782, 39.732013, 50.000000, com.ideamats.common.unit.FormatResult@437c7b60
07/15/10, 08:29:57, 116.331815, 39.731997, 47.000000, com.ideamats.common.unit.FormatResult@437f4c40
07/15/10, 08:30:00, 116.331863, 39.732002, 47.000000, com.ideamats.common.unit.FormatResult@4376c940
07/15/10, 08:30:03, 116.331890, 39.732007, 44.000000, com.ideamats.common.unit.FormatResult@437b2328
07/15/10, 08:30:06, 116.331916, 39.732013, 45.000000, com.ideamats.common.unit.FormatResult@43821998
07/15/10, 08:30:09, 116.331954, 39.732018, 44.000000, com.ideamats.common.unit.FormatResult@43876ac0
07/15/10, 08:30:12, 116.331992, 39.732007, 44.000000, com.ideamats.common.unit.FormatResult@43841bc0
07/15/10, 08:30:15, 116.332056, 39.732007, 44.000000, com.ideamats.common.unit.FormatResult@4383e238
07/15/10, 08:30:18, 116.332126, 39.731997, 44.000000, com.ideamats.common.unit.FormatResult@43831000
07/15/10, 08:30:21, 116.332163, 39.732002, 44.000000, com.ideamats.common.unit.FormatResult@437b3540
07/15/10, 08:30:24, 116.332206, 39.732002, 44.000000, com.ideamats.common.unit.FormatResult@438d9950
07/15/10, 08:30:27, 116.332254, 39.732007, 44.000000, com.ideamats.common.unit.FormatResult@438281e8
07/15/10, 08:30:30, 116.332308, 39.732018, 45.000000, com.ideamats.common.unit.FormatResult@4375f280
07/15/10, 08:30:33, 116.332351, 39.732034, 45.000000, com.ideamats.common.unit.FormatResult@4376c968
07/15/10, 08:30:36, 116.332378, 39.732045, 46.000000, com.ideamats.common.unit.FormatResult@43772f38
07/15/10, 08:30:39, 116.332415, 39.732066, 46.000000, com.ideamats.common.unit.FormatResult@4382bb00
07/15/10, 08:30:42, 116.332458, 39.732066, 47.000000, com.ideamats.common.unit.FormatResult@43836e40
07/15/10, 08:30:45, 116.332501, 39.732082, 47.000000, com.ideamats.common.unit.FormatResult@4381d368
07/15/10, 08:30:48, 116.332555, 39.732099, 47.000000, com.ideamats.common.unit.FormatResult@438c8208
07/15/10, 08:30:51, 116.332603, 39.732115, 48.000000, com.ideamats.common.unit.FormatResult@4382d1a8
